评分,评论时间,评论内容
5,2024-02-16 19:56:39,送货就是快，鞋子穿着很舒服。颜色也很鲜艳。耐克是老牌子了。我们家人一直都支持。不管是孩子还是大人，都非常钟爱这个牌子。希望可以越做越好。
5,2020-11-26 15:59:24,非常满意😘，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞👍尺码大小:很正，码数标准透气性能:透气舒适，标准乔1舒适程度:底硬柔软程度:不软其他:轻便舒适
5,2020-12-17 18:38:08,尺码大小：大小很合适，一点都不挤脚，也不偏码，尺码也很对透气性能：穿着走路脚都不出汗的，很舒服，透气性很好很不错舒适程度：底部是增高的，鞋底也很有弹性，很舒服走路特别爽柔软程度：底部很软很舒服，穿着走路也很爽，非常的不错其他特色：尺寸刚刚好，质量也非常好，店家的包装太用心了，值得推荐！
5,2020-12-14 21:22:05,尺码大小：大小很合适，一点都不偏码透气性能：挺好的，穿着很舒服，价格实惠，质量杠杠的，非常好的一次购物，下次还来舒适程度：很舒服，脚感很好，这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买柔软程度：底部很软很舒服，是正品，信赖商家，宝贝质感很好，价格也适中，无限回购！其他特色：发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评
5,2020-12-17 14:27:02,尺码大小：大小很合适啊，一点都不偏码，跟脚很契合透气性能：挺透气的穿着走路走一天脚都不臭的，很是不错舒适程度：底部很软很舒服，很适合户外运动跑步，长时间走路也不错柔软程度：底部很软很舒服，很弹其他特色：产品质量，客服服务态度特别好，很喜欢，好评
5,2022-11-21 12:38:34,真心惊喜，这个价钱买到的耐克鞋子质量很好呢，没有异味，穿着舒适，比想象中的要好，款式也很养眼，做工精美，价钱也合适，很棒的鞋子，鞋码正，上脚很舒服，透气效果好，穿着也不会闷脚，不会有脚气什么的，哈哈哈哈，鞋垫透气性能也不错，鞋跟软软的，有增高的作用，大概能比裸身高多那么两厘米左右，试过同价位的几个牌子的鞋子，貌似还真的只有耐克的鞋子穿着最舒适的了。建议如果要买耐克的鞋子的话，应该要拍大半码左右，按平时的鞋码来也可以的，质量很好性价比挺高的，比耐克的实体店里买的要便宜多了，物美价廉，物流也挺快的，是韵达快递，包装完整没有损坏，物流杆杆的，很满意，不错不错！整体来说都不错，还会再回购的
5,2022-08-21 19:55:18,第一次在京东上购买耐克的鞋子。其实这双鞋一眼就相中了，颜色很亮。收到后也没有很失望，上脚舒适百搭款，一年四季都可以穿，夏天穿也不会闷脚，穿着走路也轻巧不沉重。
5,2021-06-27 14:56:01,宝贝收到了，这个粉白色的M2K真的超级漂亮，材料质地很好，穿的很舒适，大气上档次。京东滔搏服务很好，是一次不错的购物体验。
5,2022-12-12 00:06:34,尺码大小：36.5 刚刚合适 适合脚肥的人穿透气性能：透气性也很不错 适合春夏秋冬穿舒适程度：忒舒服了 这个价位能买到nike 真的很划算了柔软程度：底部也很软  老爹鞋 容易搭配衣服 购物车放很久了 双十一买了 真的很不错 满意
5,2022-12-01 09:20:59,质量蛮好的，商家值得信赖，包装很好，而且快递也非常给力！拿到鞋后没有发现明显缺陷，粘胶、缝线处都做的很好～关键穿着舒服，不重，鞋底很软，皮面的也不惧小雨雪，透气性也可以，所以这款鞋还是很不错的！
5,2020-11-11 11:30:55,鞋子一直中意许久，老爹鞋很时尚，好搭配，双十一购买物流很快，价格实惠，码数正，有一定厚度，冬天穿双厚袜子北方就可以过冬，颜色很喜欢，鞋子很轻，穿起来很舒服，无瑕疵，满意。
5,2022-11-16 20:33:34,很好看的一双鞋子，上脚也挺好看尺码大小：尺码正好，不大不小透气性能：春秋穿正好舒适程度：脚底很舒服柔软程度：很软和&hellip;&hellip;！！！其他特色：好看，挺好看，上脚穿着也好看&hellip;&hellip;&hellip;&hellip;
5,2022-11-11 23:01:24,配色很好看，鞋底有一点点硬可以接受，鞋子很好看，百搭，高度合适 冬天穿最合适！这个配色太棒了！完美！！尺码大小：合适透气性能：冬天可舒适程度：不错其他特色：配色特别喜欢
5,2022-12-28 23:38:28,非常好看的一双鞋，价格也非常美丽，只要半价。尺码也非常标准。比较厚，南方的冬天穿起来不觉得冷，很保暖。m2k，经典中的经典。
5,2022-11-11 17:53:49,其他特色：别只盯着黑白配色的m2k了，这个轻烟灰色也很百搭啊！配简单的穿搭可以当作全身的一个亮点鞋子烟灰➕宝蓝➕亮橙很高级啊！
5,2022-11-12 08:42:58,大小很合适，一点都不偏码挺好的，穿着很舒服，价格实惠，质量杠杠的，非常好的一次购物，下次还来舒适程度：很舒服，脚感很好，这个是真的好，材料和做工都特别精致，做工真的非常棒，
5,2022-11-11 22:01:26,很舒服穿起来 活动价买的特别划算 鞋码也正 这个颜色比较好看 后面还带反光条 很个性 鞋底子不是很厚但是挺舒服的 喜欢喜欢
5,2023-01-19 10:46:08,外形外观好看大气，尺码大小合适合脚，鞋子的舒适程度高，防滑效果明显，鞋子的透气性能好，有网孔，柔软，物流速度非常的快，购物体验很好
3,2020-03-18 20:42:31,还行尺码大小：还行舒适程度：不错其他特色：可以
5,2020-03-15 18:08:42,尺码大小：可以透气性能：透气好舒适程度：舒适鞋子收到了，质量很好，做工也特别的精细，颜色和图片一样，没有什么色差，穿着大小也非常合脚，虽然是新鞋子，但是也没有什么刺激的气味，鞋子穿着脚感非常好，很棒，鞋子穿着比原来那个好多了，确实不错下次还会光顾，
5,2021-12-20 13:53:38,M2K蓝白渲染，刚收到看着挺大的，没想到穿上是刚好，老爹鞋特有的款式，感觉脚板宽的很友好，穿上很帅气，显腿细是真的。老爹鞋新配色星空蓝太戳我心啦，老爹主要看配色鞋型舒适度，刚好这双各方面都可以，干净又百搭真的是仙女配色了
5,2020-12-20 01:34:10,M2K!!!老爹鞋！经典款了！！给老婆买的！老婆很喜欢！！配色非常的好看！！亮眼！穿着非常的舒服！脚不累！细节做工非常到位！尺码大小合适！鞋底防滑效果好！透气性能好！缓震很好！好评！！！
5,2023-01-04 19:45:50,和男朋友一起买的，很好看 ，很舒服，平时也一直在穿他家的鞋子，总体来说还不错，鞋子很舒服，气垫感很强，平时出门运动时候穿着不错，而且有点增高，穿出大长腿即视感
5,2022-02-06 13:45:01,这款老爹鞋，真的爱了，颜色好看，款式新颖，上脚显高，显腿长，而且还很百搭，穿着效果很好看，走路鞋底很舒服，耐磨防滑，休闲风格，质量也很不错，放心购买吧
5,2021-11-13 20:04:15,这双鞋子穿上非常舒服，颜色和衣服也很搭，穿上也非常的保暖，而且不捂脚。鞋底比较软，适合运动和跑步。最后，大家可以安心购买这双鞋。
5,2022-08-27 23:28:30,质量很好 耐脏 舒适尺码大小：偏小 卖家很好 服务周到 还能换货
5,2023-01-03 17:32:35,在这家店买了好几次鞋子了 都很满意 这双也是 鞋子尺码标准 穿着不累脚 回弹性能很不错 颜色的搭配也很不错 比较百搭 整体很不错👍
5,2020-09-23 14:30:25,尺码大小：尺码合适，没有偏码。透气性能：透气性可以，没有很闷脚。舒适程度：鞋底挺软的，舒适性不错，压马路不错的选择。柔软程度：很舒适，鞋底挺软的，经典款的老爹鞋。其他特色：这款冰淇淋配色的老爹鞋很经典，配色也很好看，造型百搭，穿出去可以搭配好多衣服，唯一的就是容易气球。
5,2022-12-06 11:14:54,这款鞋子配色很好看，十分的耐看也很百搭。鞋子尺码正，大小刚刚好，穿着很合适。适合日常散步、运动等。价格实惠，性价比很高。
5,2023-01-12 20:48:57,这款鞋设计的非常有特色，穿着非常舒适，颜色独特，非常🈶️运动感，也可以休闲穿，感觉做工还可以，活动时候买的，还是很满意的
评分,评论时间,评论内容
5,2024-02-16 19:56:39,送货就是快，鞋子穿着很舒服。颜色也很鲜艳。耐克是老牌子了。我们家人一直都支持。不管是孩子还是大人，都非常钟爱这个牌子。希望可以越做越好。
5,2020-11-26 15:59:24,非常满意😘，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞👍尺码大小:很正，码数标准透气性能:透气舒适，标准乔1舒适程度:底硬柔软程度:不软其他:轻便舒适
5,2020-12-17 18:38:08,尺码大小：大小很合适，一点都不挤脚，也不偏码，尺码也很对透气性能：穿着走路脚都不出汗的，很舒服，透气性很好很不错舒适程度：底部是增高的，鞋底也很有弹性，很舒服走路特别爽柔软程度：底部很软很舒服，穿着走路也很爽，非常的不错其他特色：尺寸刚刚好，质量也非常好，店家的包装太用心了，值得推荐！
5,2020-12-14 21:22:05,尺码大小：大小很合适，一点都不偏码透气性能：挺好的，穿着很舒服，价格实惠，质量杠杠的，非常好的一次购物，下次还来舒适程度：很舒服，脚感很好，这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买柔软程度：底部很软很舒服，是正品，信赖商家，宝贝质感很好，价格也适中，无限回购！其他特色：发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评
5,2020-12-17 14:27:02,尺码大小：大小很合适啊，一点都不偏码，跟脚很契合透气性能：挺透气的穿着走路走一天脚都不臭的，很是不错舒适程度：底部很软很舒服，很适合户外运动跑步，长时间走路也不错柔软程度：底部很软很舒服，很弹其他特色：产品质量，客服服务态度特别好，很喜欢，好评
5,2022-11-21 12:38:34,真心惊喜，这个价钱买到的耐克鞋子质量很好呢，没有异味，穿着舒适，比想象中的要好，款式也很养眼，做工精美，价钱也合适，很棒的鞋子，鞋码正，上脚很舒服，透气效果好，穿着也不会闷脚，不会有脚气什么的，哈哈哈哈，鞋垫透气性能也不错，鞋跟软软的，有增高的作用，大概能比裸身高多那么两厘米左右，试过同价位的几个牌子的鞋子，貌似还真的只有耐克的鞋子穿着最舒适的了。建议如果要买耐克的鞋子的话，应该要拍大半码左右，按平时的鞋码来也可以的，质量很好性价比挺高的，比耐克的实体店里买的要便宜多了，物美价廉，物流也挺快的，是韵达快递，包装完整没有损坏，物流杆杆的，很满意，不错不错！整体来说都不错，还会再回购的
5,2022-08-21 19:55:18,第一次在京东上购买耐克的鞋子。其实这双鞋一眼就相中了，颜色很亮。收到后也没有很失望，上脚舒适百搭款，一年四季都可以穿，夏天穿也不会闷脚，穿着走路也轻巧不沉重。
5,2021-06-27 14:56:01,宝贝收到了，这个粉白色的M2K真的超级漂亮，材料质地很好，穿的很舒适，大气上档次。京东滔搏服务很好，是一次不错的购物体验。
5,2022-12-12 00:06:34,尺码大小：36.5 刚刚合适 适合脚肥的人穿透气性能：透气性也很不错 适合春夏秋冬穿舒适程度：忒舒服了 这个价位能买到nike 真的很划算了柔软程度：底部也很软  老爹鞋 容易搭配衣服 购物车放很久了 双十一买了 真的很不错 满意
5,2022-12-01 09:20:59,质量蛮好的，商家值得信赖，包装很好，而且快递也非常给力！拿到鞋后没有发现明显缺陷，粘胶、缝线处都做的很好～关键穿着舒服，不重，鞋底很软，皮面的也不惧小雨雪，透气性也可以，所以这款鞋还是很不错的！
5,2020-11-11 11:30:55,鞋子一直中意许久，老爹鞋很时尚，好搭配，双十一购买物流很快，价格实惠，码数正，有一定厚度，冬天穿双厚袜子北方就可以过冬，颜色很喜欢，鞋子很轻，穿起来很舒服，无瑕疵，满意。
5,2022-11-16 20:33:34,很好看的一双鞋子，上脚也挺好看尺码大小：尺码正好，不大不小透气性能：春秋穿正好舒适程度：脚底很舒服柔软程度：很软和&hellip;&hellip;！！！其他特色：好看，挺好看，上脚穿着也好看&hellip;&hellip;&hellip;&hellip;
5,2022-11-11 23:01:24,配色很好看，鞋底有一点点硬可以接受，鞋子很好看，百搭，高度合适 冬天穿最合适！这个配色太棒了！完美！！尺码大小：合适透气性能：冬天可舒适程度：不错其他特色：配色特别喜欢
5,2022-12-28 23:38:28,非常好看的一双鞋，价格也非常美丽，只要半价。尺码也非常标准。比较厚，南方的冬天穿起来不觉得冷，很保暖。m2k，经典中的经典。
5,2022-11-11 17:53:49,其他特色：别只盯着黑白配色的m2k了，这个轻烟灰色也很百搭啊！配简单的穿搭可以当作全身的一个亮点鞋子烟灰➕宝蓝➕亮橙很高级啊！
5,2022-11-12 08:42:58,大小很合适，一点都不偏码挺好的，穿着很舒服，价格实惠，质量杠杠的，非常好的一次购物，下次还来舒适程度：很舒服，脚感很好，这个是真的好，材料和做工都特别精致，做工真的非常棒，
5,2022-11-11 22:01:26,很舒服穿起来 活动价买的特别划算 鞋码也正 这个颜色比较好看 后面还带反光条 很个性 鞋底子不是很厚但是挺舒服的 喜欢喜欢
5,2023-01-19 10:46:08,外形外观好看大气，尺码大小合适合脚，鞋子的舒适程度高，防滑效果明显，鞋子的透气性能好，有网孔，柔软，物流速度非常的快，购物体验很好
3,2020-03-18 20:42:31,还行尺码大小：还行舒适程度：不错其他特色：可以
5,2020-03-15 18:08:42,尺码大小：可以透气性能：透气好舒适程度：舒适鞋子收到了，质量很好，做工也特别的精细，颜色和图片一样，没有什么色差，穿着大小也非常合脚，虽然是新鞋子，但是也没有什么刺激的气味，鞋子穿着脚感非常好，很棒，鞋子穿着比原来那个好多了，确实不错下次还会光顾，
5,2021-12-20 13:53:38,M2K蓝白渲染，刚收到看着挺大的，没想到穿上是刚好，老爹鞋特有的款式，感觉脚板宽的很友好，穿上很帅气，显腿细是真的。老爹鞋新配色星空蓝太戳我心啦，老爹主要看配色鞋型舒适度，刚好这双各方面都可以，干净又百搭真的是仙女配色了
5,2020-12-20 01:34:10,M2K!!!老爹鞋！经典款了！！给老婆买的！老婆很喜欢！！配色非常的好看！！亮眼！穿着非常的舒服！脚不累！细节做工非常到位！尺码大小合适！鞋底防滑效果好！透气性能好！缓震很好！好评！！！
5,2023-01-04 19:45:50,和男朋友一起买的，很好看 ，很舒服，平时也一直在穿他家的鞋子，总体来说还不错，鞋子很舒服，气垫感很强，平时出门运动时候穿着不错，而且有点增高，穿出大长腿即视感
5,2022-02-06 13:45:01,这款老爹鞋，真的爱了，颜色好看，款式新颖，上脚显高，显腿长，而且还很百搭，穿着效果很好看，走路鞋底很舒服，耐磨防滑，休闲风格，质量也很不错，放心购买吧
5,2021-11-13 20:04:15,这双鞋子穿上非常舒服，颜色和衣服也很搭，穿上也非常的保暖，而且不捂脚。鞋底比较软，适合运动和跑步。最后，大家可以安心购买这双鞋。
5,2022-08-27 23:28:30,质量很好 耐脏 舒适尺码大小：偏小 卖家很好 服务周到 还能换货
5,2023-01-03 17:32:35,在这家店买了好几次鞋子了 都很满意 这双也是 鞋子尺码标准 穿着不累脚 回弹性能很不错 颜色的搭配也很不错 比较百搭 整体很不错👍
5,2020-09-23 14:30:25,尺码大小：尺码合适，没有偏码。透气性能：透气性可以，没有很闷脚。舒适程度：鞋底挺软的，舒适性不错，压马路不错的选择。柔软程度：很舒适，鞋底挺软的，经典款的老爹鞋。其他特色：这款冰淇淋配色的老爹鞋很经典，配色也很好看，造型百搭，穿出去可以搭配好多衣服，唯一的就是容易气球。
5,2022-12-06 11:14:54,这款鞋子配色很好看，十分的耐看也很百搭。鞋子尺码正，大小刚刚好，穿着很合适。适合日常散步、运动等。价格实惠，性价比很高。
5,2023-01-12 20:48:57,这款鞋设计的非常有特色，穿着非常舒适，颜色独特，非常🈶️运动感，也可以休闲穿，感觉做工还可以，活动时候买的，还是很满意的
5,2023-01-15 12:41:08,有活动的时候买的，很优惠，鞋子很好看，很信赖的店铺，尺码大小：正常尺码透气性能：不闷脚舒适程度：走路很舒服其他特色：重点是好看，很百搭，配色也是我喜欢的样子，，
5,2022-12-01 11:53:28,很好看的老爹鞋，主体鞋面采取拼接设计，虽然看起来复杂，但是缝合位置做工精细，杂而不乱，侧面非常有特点的采用双勾设计，一大一小的亮黄色刺绣组成，形成强烈的反差，很有辨识度。总的来说是一款性价比很高的鞋，推荐购买！
5,2023-01-07 19:20:34,穿上挺舒服的，这个季节穿也不冻脚，挺好看的。收到货后试了一下，很不错，质量很好，值得拥有！五星好评收到货后试了一下，很不错，质量很好，值得拥有！五星好评！
5,2021-06-22 20:52:45,很不错的鞋子，颜值很高性价比也很高，搞活动的时候买。价格比平时便宜很多，非常的划算，而且脚感也不错，舒服，女孩子穿百搭，非常的百搭。配什么衣服都好看，而且脚感舒服，脚感舒服。销量很高，基本上就抢着买了，如果喜欢的朋友放心购买吧！
5,2022-08-26 16:26:23,好看，有颜值。的好鞋子春夏秋冬看起来都非常的舒服，鞋子很透气，穿起来也非常好，搭配的衣服，好评了，喜欢的可以考虑入手。价格有点小贵。
5,2021-06-22 20:47:31,很好看的鞋子，配色也好看，很舒服，脚感还可以，活动的时候买，价格很划算。比较亲民啦，现在这个价格性价比很高，女孩子的鞋子。很百搭，穿什么款式的裤子，鞋子，衣服都可以配这双鞋子。推荐大家购买，很赞赞赞！
